Date,Close,Open,High,Low,Volume,Change_Pct,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_PctB,ATR_14,OBV,Daily_Return,Log_Return,Price_Range,Close_to_SMA20,Daily_Sentiment_Mean,Daily_Sentiment_Std,Positive_Count,Negative_Count,Neutral_Count,Total_Articles,Sentiment_Ratio,Sent_Mean_MA1,Sent_Mean_MA3,Sent_Mean_MA5,Sent_Mean_MA7,Sent_Mean_MA14,Sent_Mean_MA20,Sent_Ratio_MA1,Sent_Ratio_MA3,Sent_Ratio_MA5,Sent_Ratio_MA7,Sent_Ratio_MA14,Sent_Ratio_MA20,Articles_MA1,Articles_MA3,Articles_MA5,Articles_MA7,Articles_MA14,Articles_MA20,Sent_Momentum_3d,Sent_Momentum_7d
2026-02-12,66248.7,67048.8,68349.5,65138.1,79760.0,-1.19,77010.225,85399.65600000002,71604.46376642048,77486.89084345523,29.308992945178716,-5882.42707703475,-5145.203988918477,-737.2230881162732,94652.99389784165,77010.225,59367.456102158365,0.4581928931603989,0.19501598467016878,5218.135714285714,-2106572640.0,-0.011933099473816156,-0.012004870443514542,0.04847491347000019,-0.1397415083516508,-0.3333333333333333,0.816496580927726,1,3,2,6,-0.3333333333333333,-0.3333333333333333,0.22222222222222224,-0.26666666666666666,-0.2619047619047619,-0.36363636363636365,-0.36363636363636365,-0.3333333333333333,0.22222222222222232,-0.26666666666666666,-0.2619047619047619,-0.3393939393939394,-0.3393939393939394,6.0,2.6666666666666665,2.2,2.7142857142857144,3.090909090909091,3.090909090909091,0.6666666666666667,0.5999999999999999
2026-02-13,68883.4,66234.1,69405.5,65871.0,70100.0,3.98,75991.65000000001,85032.338,71185.83857158656,76849.59522542151,35.4092415108841,-5663.756653834949,-5248.914521901772,-414.84213193317737,92998.66382513814,75991.65000000001,58984.63617486188,0.4476021727423507,0.2910200440510819,5220.342857142857,-2106502540.0,0.03976983699302772,0.03899937807685314,0.051311346420182515,-0.09353988234233648,-1.0,0.0,0,1,0,1,-1.0,-1.0,-0.4444444444444444,-0.26666666666666666,-0.369047619047619,-0.4166666666666667,-0.4166666666666667,-1.0,-0.44444444444444436,-0.26666666666666666,-0.369047619047619,-0.39444444444444443,-0.39444444444444443,1.0,2.6666666666666665,2.0,2.2857142857142856,2.9166666666666665,2.9166666666666665,-2.0,-0.75
2026-02-14,69784.4,68828.7,70494.5,68725.6,56530.0,1.31,75148.76999999999,84680.868,70970.23263749632,76326.24743094583,37.39874500214538,-5356.014793449518,-5270.334576211321,-85.68021723819675,91595.0079635625,75148.76999999999,58702.53203643748,0.43769812768891664,0.33691194266174934,4757.592857142854,-2106446010.0,0.01308007444464132,0.012995268978286064,0.02534807206195073,-0.071383337345375,0.0,0.0,0,0,1,1,0.0,0.0,-0.4444444444444444,-0.06666666666666665,-0.3333333333333333,-0.38461538461538464,-0.38461538461538464,0.0,-0.44444444444444436,-0.06666666666666665,-0.3333333333333333,-0.3641025641025641,-0.3641025641025641,1.0,2.6666666666666665,2.0,1.8571428571428572,2.769230769230769,2.769230769230769,0.0,0.25
2026-02-15,68813.8,69797.0,70961.2,68076.1,59220.0,-1.39,74172.895,84300.12800000001,70638.47377018919,75769.76984346837,36.10846625975253,-5131.2960732791835,-5242.526875624894,111.2308023457108,89610.92144442815,74172.895,58734.86855557186,0.4162713736447295,0.32643199183227867,4707.371428571425,-2106505230.0,-0.013908552627807769,-0.014006182866546311,0.04192618341088548,-0.07225139318075695,1.0,0.0,1,0,0,1,1.0,1.0,0.0,-0.06666666666666665,-0.04761904761904761,-0.2857142857142857,-0.2857142857142857,1.0,7.401486830834377e-17,-0.06666666666666665,-0.04761904761904761,-0.26666666666666666,-0.26666666666666666,1.0,1.0,2.0,1.7142857142857142,2.642857142857143,2.642857142857143,1.3333333333333333,2.0
2026-02-18,66473.2,67495.7,68445.8,65896.5,56700.0,-1.51,71158.38500000001,83085.39199999999,69395.40145112507,74076.44512544802,32.91898194266996,-4681.043674322951,-5007.661346830123,326.61767250717185,81601.91636106766,71158.38500000001,60714.853638932356,0.29352918453862187,0.2756896188646557,4139.521428571426,-2106564680.0,-0.015079069919055721,-0.015193915061678708,0.03835079400420023,-0.06584164325820509,0.0,0.0,0,0,1,1,0.0,0.0,0.3333333333333333,-0.06666666666666665,0.09523809523809525,-0.25,-0.26666666666666666,0.0,0.3333333333333334,-0.06666666666666665,0.09523809523809525,-0.23095238095238096,-0.24888888888888888,1.0,1.0,2.0,1.7142857142857142,2.4285714285714284,2.533333333333333,1.0,1.0
2026-02-19,66978.9,66466.7,67304.6,65653.5,53720.0,0.76,70295.55500000001,82672.716,69023.63199710583,73550.7010420815,34.354258577471214,-4527.06904497568,-4911.542886459235,384.4738414835547,78875.05990032248,70295.55500000001,61716.05009967754,0.24409807704975,0.306710583038693,3491.042857142855,-2106510960.0,0.007607577189002512,0.007578785504766155,0.024651046822208277,-0.04718157499432237,0.0,1.4142135623730951,1,1,0,2,0.0,0.0,0.3333333333333333,1.1102230246251566e-17,-0.04761904761904761,-0.2214285714285714,-0.25,0.0,0.3333333333333334,1.1102230246251566e-17,-0.04761904761904761,-0.20238095238095236,-0.23333333333333334,2.0,1.3333333333333333,1.2,1.8571428571428572,2.2142857142857144,2.5,0.0,-1.0
2026-02-20,68023.5,66983.7,68299.4,66501.8,90380.0,1.56,69760.405,82256.944,68869.76553601262,73141.27874266806,37.336824951572815,-4271.513206655436,-4783.536950498476,512.0237438430395,77410.53379794741,69760.405,62110.276202052584,0.21932581377494625,0.3864787086678839,2797.371428571426,-2106420580.0,0.01559595633848887,0.015475589291118525,0.026426161547112265,-0.02489814960219911,-1.0,0.0,0,1,0,1,-1.0,-1.0,-0.3333333333333333,0.0,-0.19047619047619047,-0.26904761904761904,-0.29411764705882354,-1.0,-0.33333333333333326,0.0,-0.19047619047619047,-0.25,-0.2784313725490196,1.0,1.3333333333333333,1.2,1.8571428571428572,2.0714285714285716,2.411764705882353,-2.0,-1.0
2026-02-22,67642.9,68003.0,68243.1,67197.7,32600.0,-0.54,68758.26999999999,81357.932,68569.23804649424,72382.12731710225,36.635115372867304,-3812.889270608008,-4467.817879498802,654.9286088907938,74051.72754964771,68758.26999999999,63464.81245035227,0.1539729708047547,0.39464636397488223,2416.885714285713,-2106484580.0,-0.005413822155501236,-0.005428529998449171,0.015454689257852766,-0.016221612323870212,-1.0,0.0,0,1,0,1,-1.0,-1.0,-0.6666666666666666,-0.2,-0.2857142857142857,-0.2738095238095238,-0.3333333333333333,-1.0,-0.6666666666666666,-0.2,-0.2857142857142857,-0.2738095238095238,-0.31851851851851853,1.0,1.3333333333333333,1.2,1.1428571428571428,1.9285714285714286,2.3333333333333335,-1.0,-0.6666666666666667
2026-02-23,64662.7,67640.0,67665.4,63939.0,108840.0,-4.41,68205.16500000001,80820.27799999999,67968.23219318743,71810.31788620578,31.613277357032203,-3842.085693018351,-4342.671442202712,500.5857491843608,72682.49835828219,68205.16500000001,63727.831641717836,0.13129015546790848,0.10440012876781231,2469.4714285714276,-2106593420.0,-0.044057839034104096,-0.04505786884269888,0.05762827719844662,-0.05193836859715845,-1.0,0.0,0,2,0,2,-1.0,-1.0,-1.0,-0.6,-0.2857142857142857,-0.3273809523809524,-0.3684210526315789,-1.0,-1.0,-0.6,-0.2857142857142857,-0.3273809523809524,-0.3543859649122807,2.0,1.3333333333333333,1.4,1.2857142857142858,1.7857142857142858,2.3157894736842106,-1.0,0.0
2026-02-24,64048.8,64655.2,65002.3,62650.1,79660.0,-0.95,67750.755,80224.01,67365.24262500476,71235.39063537572,30.68031972042381,-3870.148010370962,-4248.1667558363615,378.01874546539966,71957.10473868488,67750.755,63544.405261315136,0.12417130225884189,0.05995634814267338,2457.778571428571,-2106673080.0,-0.009493881325710052,-0.009539235503408865,0.03672512209440308,-0.05464079330186064,-1.0,0.0,0,2,0,2,-1.0,-1.0,-1.0,-0.8,-0.42857142857142855,-0.38095238095238093,-0.4,-1.0,-1.0,-0.8,-0.42857142857142855,-0.38095238095238093,-0.38666666666666666,2.0,1.6666666666666667,1.6,1.4285714285714286,1.6428571428571428,2.3,0.0,-1.0
